entry_time,exit_time,sweep_dir,direction,entry_price,stop,target,exit_price,realized_r,exit_reason,hold_bars
2022-05-12 07:50:00+00:00,2022-05-12 11:40:00+00:00,bear,bull,1852.688,1843.56238,1880.06485,1843.56238,-1.0,stop,46
2022-05-13 06:10:00+00:00,2022-05-13 07:30:00+00:00,bull,bear,1825.318,1827.64242,1818.34473,1827.64242,-1.0,stop,16
2022-05-13 08:20:00+00:00,2022-05-13 13:20:00+00:00,bull,bear,1821.563,1828.92794,1799.46819,1799.46819,3.0,target,60
2022-05-16 07:00:00+00:00,2022-05-16 07:35:00+00:00,bear,bull,1808.078,1804.44501,1818.97697,1804.44501,-1.0,stop,7
2022-05-17 12:30:00+00:00,2022-05-18 05:30:00+00:00,bull,bear,1828.69,1836.29138,1805.88587,1810.073,2.4492,max_hold,192
2022-05-18 08:35:00+00:00,2022-05-18 09:30:00+00:00,bull,bear,1814.028,1817.3124,1804.1748,1817.3124,-1.0,stop,11
2022-05-18 10:40:00+00:00,2022-05-18 11:50:00+00:00,bull,bear,1817.878,1820.51664,1809.96208,1809.96208,3.0,target,14
2022-05-18 12:35:00+00:00,2022-05-19 05:35:00+00:00,bear,bull,1813.798,1806.91682,1834.44154,1813.368,-0.0625,max_hold,192
2022-05-19 07:15:00+00:00,2022-05-19 07:40:00+00:00,bear,bull,1814.828,1811.71696,1824.16113,1811.71696,-1.0,stop,5
2022-05-19 08:30:00+00:00,2022-05-19 09:10:00+00:00,bear,bull,1814.653,1810.58257,1826.86429,1826.86429,3.0,target,8
2022-05-19 12:10:00+00:00,2022-05-19 12:30:00+00:00,bull,bear,1829.196,1832.49781,1819.29056,1832.49781,-1.0,stop,4
2022-05-19 13:30:00+00:00,2022-05-19 14:00:00+00:00,bull,bear,1834.538,1842.10367,1811.84098,1842.10367,-1.0,stop,6
2022-05-20 07:20:00+00:00,2022-05-22 22:00:00+00:00,bull,bear,1844.948,1849.52019,1831.23144,1849.52019,-1.0,stop,164
2022-05-23 06:00:00+00:00,2022-05-23 07:25:00+00:00,bull,bear,1853.208,1856.22857,1844.1463,1856.22857,-1.0,stop,17
2022-05-23 10:20:00+00:00,2022-05-23 16:15:00+00:00,bull,bear,1861.498,1865.55129,1849.33812,1849.33812,3.0,target,71
2022-05-24 08:50:00+00:00,2022-05-24 09:15:00+00:00,bull,bear,1857.163,1857.73095,1855.45914,1857.73095,-1.0,stop,5
2022-05-24 12:55:00+00:00,2022-05-25 05:55:00+00:00,bear,bull,1859.978,1853.7859,1878.5543,1859.963,-0.0024,max_hold,192
2022-05-25 11:40:00+00:00,2022-05-25 12:50:00+00:00,bear,bull,1855.728,1850.92314,1870.14258,1850.92314,-1.0,stop,14
2022-05-27 08:55:00+00:00,2022-05-27 12:00:00+00:00,bull,bear,1856.654,1860.47587,1845.18839,1860.47587,-1.0,stop,37
2022-05-27 12:25:00+00:00,2022-05-30 05:05:00+00:00,bull,bear,1856.683,1862.09263,1840.4541,1862.09263,-1.0,stop,188
2022-05-30 06:50:00+00:00,2022-05-31 00:15:00+00:00,bull,bear,1860.808,1864.02829,1851.14714,1851.14714,3.0,target,167
2022-05-31 12:10:00+00:00,2022-05-31 14:05:00+00:00,bear,bull,1851.823,1844.21757,1874.6393,1844.21757,-1.0,stop,23
2022-06-01 06:00:00+00:00,2022-06-01 08:55:00+00:00,bear,bull,1832.878,1829.37918,1843.37446,1829.37918,-1.0,stop,35
2022-06-01 10:35:00+00:00,2022-06-01 12:55:00+00:00,bear,bull,1832.158,1828.18342,1844.08173,1844.08173,3.0,target,28
2022-06-02 07:25:00+00:00,2022-06-02 09:15:00+00:00,bull,bear,1849.798,1853.34569,1839.15492,1853.34569,-1.0,stop,22
2022-06-02 12:30:00+00:00,2022-06-02 13:00:00+00:00,bull,bear,1851.138,1858.90018,1827.85147,1858.90018,-1.0,stop,6
2022-06-03 13:30:00+00:00,2022-06-03 13:35:00+00:00,bear,bull,1862.808,1862.01323,1865.19231,1862.01323,-1.0,stop,1
2022-06-06 09:45:00+00:00,2022-06-06 13:40:00+00:00,bear,bull,1852.928,1850.66513,1859.71661,1850.66513,-1.0,stop,47
2022-06-07 06:00:00+00:00,2022-06-07 07:10:00+00:00,bull,bear,1838.638,1844.51596,1821.00413,1844.51596,-1.0,stop,14
2022-06-07 07:55:00+00:00,2022-06-07 08:40:00+00:00,bull,bear,1841.998,1846.41054,1828.76039,1846.41054,-1.0,stop,9
2022-06-07 10:00:00+00:00,2022-06-07 10:35:00+00:00,bull,bear,1846.265,1848.96177,1838.1747,1848.96177,-1.0,stop,7
2022-06-07 13:45:00+00:00,2022-06-08 06:45:00+00:00,bear,bull,1850.418,1841.94413,1875.83962,1849.273,-0.1351,max_hold,192
2022-06-08 10:40:00+00:00,2022-06-08 11:35:00+00:00,bull,bear,1847.38,1851.52476,1834.94572,1851.52476,-1.0,stop,11
2022-06-08 12:20:00+00:00,2022-06-08 12:45:00+00:00,bull,bear,1847.863,1852.79682,1833.06153,1852.79682,-1.0,stop,5
2022-06-09 07:20:00+00:00,2022-06-09 07:50:00+00:00,bear,bull,1852.163,1849.01261,1861.61417,1849.01261,-1.0,stop,6
2022-06-09 13:40:00+00:00,2022-06-10 06:40:00+00:00,bull,bear,1846.135,1852.85869,1825.96394,1844.984,0.1712,max_hold,192
2022-06-10 09:25:00+00:00,2022-06-10 12:30:00+00:00,bull,bear,1842.808,1847.6393,1828.31409,1828.31409,3.0,target,37
2022-06-13 10:40:00+00:00,2022-06-13 12:15:00+00:00,bear,bull,1857.308,1852.34354,1872.20137,1852.34354,-1.0,stop,19
2022-06-14 07:40:00+00:00,2022-06-14 15:40:00+00:00,bull,bear,1826.645,1831.79031,1811.20906,1811.20906,3.0,target,96
2022-06-15 07:45:00+00:00,2022-06-15 07:50:00+00:00,bull,bear,1818.808,1819.65573,1816.26481,1819.65573,-1.0,stop,1
2022-06-15 08:15:00+00:00,2022-06-15 09:40:00+00:00,bull,bear,1817.884,1824.21284,1798.89748,1824.21284,-1.0,stop,17
2022-06-15 13:20:00+00:00,2022-06-15 18:40:00+00:00,bull,bear,1828.458,1836.77133,1803.518,1836.77133,-1.0,stop,64
2022-06-16 08:15:00+00:00,2022-06-16 10:05:00+00:00,bear,bull,1831.838,1825.96533,1849.45602,1825.96533,-1.0,stop,22
2022-06-16 11:25:00+00:00,2022-06-16 15:50:00+00:00,bear,bull,1822.468,1814.34582,1846.83455,1846.83455,3.0,target,53
2022-06-17 09:45:00+00:00,2022-06-17 12:45:00+00:00,bull,bear,1849.088,1851.24985,1842.60246,1851.24985,-1.0,stop,36
2022-06-17 13:20:00+00:00,2022-06-20 06:20:00+00:00,bull,bear,1846.778,1853.25763,1827.33911,1842.708,0.6281,max_hold,192
2022-06-20 09:00:00+00:00,2022-06-20 10:00:00+00:00,bear,bull,1841.348,1839.0618,1848.20661,1839.0618,-1.0,stop,12
2022-06-21 07:50:00+00:00,2022-06-21 11:05:00+00:00,bear,bull,1836.684,1832.27152,1849.92143,1832.27152,-1.0,stop,39
2022-06-21 12:05:00+00:00,2022-06-21 19:25:00+00:00,bear,bull,1834.478,1830.43516,1846.60651,1830.43516,-1.0,stop,88
2022-06-22 07:25:00+00:00,2022-06-22 08:05:00+00:00,bear,bull,1828.223,1823.8559,1841.32431,1823.8559,-1.0,stop,8
2022-06-22 09:05:00+00:00,2022-06-22 11:00:00+00:00,bear,bull,1825.738,1823.07066,1833.74003,1833.74003,3.0,target,23
2022-06-23 06:00:00+00:00,2022-06-23 09:30:00+00:00,bear,bull,1835.048,1830.80474,1847.77779,1830.80474,-1.0,stop,42
2022-06-23 11:55:00+00:00,2022-06-23 18:15:00+00:00,bear,bull,1829.288,1823.58195,1846.40614,1823.58195,-1.0,stop,76
2022-06-24 06:05:00+00:00,2022-06-24 07:40:00+00:00,bull,bear,1823.438,1827.1356,1812.3452,1827.1356,-1.0,stop,19
2022-06-24 13:10:00+00:00,2022-06-27 06:10:00+00:00,bear,bull,1826.598,1821.35975,1842.31274,1834.683,1.5435,max_hold,192
2022-06-27 07:55:00+00:00,2022-06-28 00:55:00+00:00,bull,bear,1834.818,1841.15623,1815.80331,1824.658,1.603,max_hold,192
2022-06-28 07:25:00+00:00,2022-06-28 08:20:00+00:00,bull,bear,1826.543,1828.33208,1821.17575,1828.33208,-1.0,stop,11
2022-06-28 08:55:00+00:00,2022-06-29 01:55:00+00:00,bull,bear,1826.413,1829.40623,1817.4333,1822.038,1.4616,max_hold,192
2022-06-29 09:15:00+00:00,2022-06-29 09:30:00+00:00,bear,bull,1817.713,1815.44626,1824.51321,1815.44626,-1.0,stop,3
2022-06-29 10:15:00+00:00,2022-06-30 03:15:00+00:00,bear,bull,1817.433,1811.78769,1834.36892,1819.023,0.2816,max_hold,192
2022-06-30 06:05:00+00:00,2022-06-30 06:25:00+00:00,bear,bull,1817.153,1816.36486,1819.51743,1816.36486,-1.0,stop,4
2022-06-30 08:45:00+00:00,2022-06-30 09:40:00+00:00,bear,bull,1816.003,1812.10167,1827.707,1812.10167,-1.0,stop,11
2022-06-30 12:30:00+00:00,2022-07-01 03:45:00+00:00,bear,bull,1808.828,1802.32106,1828.34881,1802.32106,-1.0,stop,171
2022-07-01 13:00:00+00:00,2022-07-04 06:00:00+00:00,bear,bull,1793.054,1784.02275,1820.14774,1812.168,2.1164,max_hold,192
2022-07-04 10:35:00+00:00,2022-07-04 10:50:00+00:00,bear,bull,1806.534,1804.93369,1811.33492,1804.93369,-1.0,stop,3
2022-07-05 09:15:00+00:00,2022-07-05 11:15:00+00:00,bear,bull,1803.736,1800.00221,1814.93736,1800.00221,-1.0,stop,24
2022-07-05 12:15:00+00:00,2022-07-05 13:05:00+00:00,bear,bull,1803.868,1795.95989,1827.59233,1795.95989,-1.0,stop,10
2022-07-06 06:20:00+00:00,2022-07-06 08:40:00+00:00,bear,bull,1767.138,1765.53582,1771.94454,1765.53582,-1.0,stop,28
2022-07-06 11:05:00+00:00,2022-07-06 12:30:00+00:00,bear,bull,1762.744,1759.7263,1771.79711,1759.7263,-1.0,stop,17
2022-07-06 12:50:00+00:00,2022-07-06 13:50:00+00:00,bear,bull,1765.498,1759.11757,1784.63929,1759.11757,-1.0,stop,12
2022-07-07 06:55:00+00:00,2022-07-07 13:45:00+00:00,bull,bear,1743.386,1747.72708,1730.36276,1747.72708,-1.0,stop,82
2022-07-08 08:05:00+00:00,2022-07-11 01:05:00+00:00,bear,bull,1742.924,1732.81881,1773.23957,1740.008,-0.2886,max_hold,192
2022-07-11 10:40:00+00:00,2022-07-11 11:35:00+00:00,bear,bull,1736.888,1733.86223,1745.96531,1733.86223,-1.0,stop,11
2022-07-11 12:15:00+00:00,2022-07-11 17:25:00+00:00,bear,bull,1736.418,1733.3935,1745.4915,1733.3935,-1.0,stop,62
2022-07-12 08:05:00+00:00,2022-07-12 08:35:00+00:00,bull,bear,1732.694,1738.14271,1716.34787,1738.14271,-1.0,stop,6
2022-07-12 10:25:00+00:00,2022-07-12 11:20:00+00:00,bull,bear,1732.434,1739.23773,1712.0228,1739.23773,-1.0,stop,11
2022-07-12 12:20:00+00:00,2022-07-13 05:20:00+00:00,bull,bear,1733.418,1739.54762,1715.02915,1724.998,1.3737,max_hold,192
2022-07-13 11:45:00+00:00,2022-07-13 12:30:00+00:00,bull,bear,1729.044,1731.89501,1720.49096,1720.49096,3.0,target,9
2022-07-14 11:25:00+00:00,2022-07-14 12:45:00+00:00,bear,bull,1714.977,1709.57849,1731.17252,1709.57849,-1.0,stop,16
2022-07-15 08:55:00+00:00,2022-07-15 12:30:00+00:00,bear,bull,1704.385,1700.34575,1716.50275,1700.34575,-1.0,stop,43
2022-07-15 13:35:00+00:00,2022-07-18 01:25:00+00:00,bull,bear,1705.178,1714.39168,1677.53696,1714.39168,-1.0,stop,130
2022-07-18 06:30:00+00:00,2022-07-18 07:20:00+00:00,bull,bear,1712.258,1718.49018,1693.56147,1718.49018,-1.0,stop,10
2022-07-18 12:55:00+00:00,2022-07-18 15:10:00+00:00,bear,bull,1717.078,1711.12651,1734.93247,1711.12651,-1.0,stop,27
2022-07-19 06:15:00+00:00,2022-07-19 07:00:00+00:00,bull,bear,1708.318,1710.1663,1702.77311,1710.1663,-1.0,stop,9
2022-07-19 11:50:00+00:00,2022-07-19 12:20:00+00:00,bull,bear,1714.391,1715.64647,1710.62459,1710.62459,3.0,target,6
2022-07-19 13:30:00+00:00,2022-07-20 05:45:00+00:00,bear,bull,1712.481,1708.21578,1725.27667,1708.21578,-1.0,stop,183
2022-07-20 07:20:00+00:00,2022-07-20 16:40:00+00:00,bear,bull,1708.844,1706.14013,1716.95561,1706.14013,-1.0,stop,112
2022-07-21 07:20:00+00:00,2022-07-21 07:55:00+00:00,bear,bull,1690.904,1688.49441,1698.13278,1688.49441,-1.0,stop,7
2022-07-21 11:45:00+00:00,2022-07-21 12:35:00+00:00,bear,bull,1684.056,1680.53641,1694.61476,1694.61476,3.0,target,10
2022-07-22 07:30:00+00:00,2022-07-22 08:30:00+00:00,bull,bear,1716.003,1719.47925,1705.57424,1719.47925,-1.0,stop,12
2022-07-22 10:25:00+00:00,2022-07-22 11:30:00+00:00,bull,bear,1722.308,1725.81538,1711.78587,1725.81538,-1.0,stop,13
2022-07-22 12:20:00+00:00,2022-07-22 13:45:00+00:00,bull,bear,1724.618,1730.34151,1707.44748,1730.34151,-1.0,stop,17
2022-07-26 08:05:00+00:00,2022-07-27 01:05:00+00:00,bull,bear,1724.024,1728.01597,1712.0481,1719.084,1.2375,max_hold,192
2022-07-28 09:45:00+00:00,2022-07-28 12:45:00+00:00,bull,bear,1743.808,1748.65428,1729.26915,1748.65428,-1.0,stop,36
2022-07-29 10:10:00+00:00,2022-07-29 12:30:00+00:00,bear,bull,1761.564,1755.97701,1778.32498,1755.97701,-1.0,stop,28
2022-08-01 06:15:00+00:00,2022-08-01 09:40:00+00:00,bear,bull,1761.984,1759.26245,1770.14864,1770.14864,3.0,target,41
2022-08-01 12:05:00+00:00,2022-08-01 12:20:00+00:00,bull,bear,1770.19,1775.06804,1755.55587,1775.06804,-1.0,stop,3
2022-08-01 12:30:00+00:00,2022-08-02 00:25:00+00:00,bull,bear,1768.232,1775.58339,1746.17784,1775.58339,-1.0,stop,131
2022-08-02 06:35:00+00:00,2022-08-02 07:25:00+00:00,bear,bull,1774.988,1771.09403,1786.66992,1771.09403,-1.0,stop,10
2022-08-02 08:15:00+00:00,2022-08-02 12:30:00+00:00,bear,bull,1773.004,1768.59886,1786.21941,1786.21941,3.0,target,51
2022-08-02 13:20:00+00:00,2022-08-03 06:20:00+00:00,bull,bear,1776.758,1788.31271,1742.09386,1768.444,0.7195,max_hold,192
2022-08-03 13:25:00+00:00,2022-08-03 14:15:00+00:00,bull,bear,1768.584,1772.91618,1755.58747,1755.58747,3.0,target,10
2022-08-04 12:55:00+00:00,2022-08-04 13:55:00+00:00,bull,bear,1780.628,1783.82715,1771.03054,1783.82715,-1.0,stop,12
2022-08-05 07:05:00+00:00,2022-08-05 08:05:00+00:00,bear,bull,1791.768,1788.34956,1802.02332,1788.34956,-1.0,stop,12
2022-08-05 11:30:00+00:00,2022-08-05 12:30:00+00:00,bear,bull,1787.118,1783.58332,1797.72204,1783.58332,-1.0,stop,12
2022-08-08 08:15:00+00:00,2022-08-08 10:40:00+00:00,bull,bear,1774.908,1779.27245,1761.81464,1779.27245,-1.0,stop,29
2022-08-08 12:40:00+00:00,2022-08-08 14:00:00+00:00,bull,bear,1781.318,1785.10169,1769.96692,1785.10169,-1.0,stop,16
2022-08-09 09:30:00+00:00,2022-08-09 10:40:00+00:00,bull,bear,1789.458,1793.52699,1777.25103,1793.52699,-1.0,stop,14
2022-08-09 11:55:00+00:00,2022-08-09 13:05:00+00:00,bull,bear,1789.358,1794.75682,1773.16154,1794.75682,-1.0,stop,14
2022-08-10 07:00:00+00:00,2022-08-10 12:30:00+00:00,bear,bull,1790.638,1787.35902,1800.47494,1800.47494,3.0,target,66
2022-08-11 06:20:00+00:00,2022-08-11 23:20:00+00:00,bear,bull,1787.368,1783.24201,1799.74596,1787.264,-0.0252,max_hold,192
2022-08-12 07:30:00+00:00,2022-08-12 12:55:00+00:00,bull,bear,1790.254,1794.17856,1778.48031,1794.17856,-1.0,stop,65
2022-08-15 12:20:00+00:00,2022-08-16 05:20:00+00:00,bear,bull,1782.538,1772.50647,1812.6326,1780.904,-0.1629,max_hold,192
2022-08-16 10:55:00+00:00,2022-08-16 12:30:00+00:00,bear,bull,1777.578,1773.58443,1789.55871,1773.58443,-1.0,stop,19
2022-08-16 13:30:00+00:00,2022-08-17 06:30:00+00:00,bear,bull,1777.058,1771.08432,1794.97905,1777.678,0.1038,max_hold,192
2022-08-17 08:35:00+00:00,2022-08-17 09:25:00+00:00,bear,bull,1776.078,1773.41421,1784.06938,1773.41421,-1.0,stop,10
2022-08-18 08:00:00+00:00,2022-08-18 10:05:00+00:00,bear,bull,1763.428,1761.28812,1769.84765,1769.84765,3.0,target,25
2022-08-18 12:10:00+00:00,2022-08-18 12:25:00+00:00,bull,bear,1769.158,1770.78314,1764.28258,1770.78314,-1.0,stop,3
2022-08-19 06:25:00+00:00,2022-08-19 10:00:00+00:00,bear,bull,1757.064,1751.52789,1773.67234,1751.52789,-1.0,stop,43
2022-08-19 13:30:00+00:00,2022-08-22 05:05:00+00:00,bull,bear,1754.518,1758.2464,1743.3328,1743.3328,3.0,target,175
2022-08-22 09:45:00+00:00,2022-08-22 11:40:00+00:00,bear,bull,1735.574,1731.4004,1748.0948,1731.4004,-1.0,stop,23
2022-08-22 13:05:00+00:00,2022-08-23 06:05:00+00:00,bear,bull,1732.904,1727.42589,1749.33832,1736.998,0.7473,max_hold,192
2022-08-23 09:20:00+00:00,2022-08-23 13:45:00+00:00,bull,bear,1739.214,1743.95871,1724.97987,1743.95871,-1.0,stop,53
2022-08-24 06:00:00+00:00,2022-08-24 08:00:00+00:00,bull,bear,1745.278,1748.08048,1736.87056,1748.08048,-1.0,stop,24
2022-08-24 09:45:00+00:00,2022-08-24 10:10:00+00:00,bull,bear,1749.704,1750.30415,1747.90355,1747.90355,3.0,target,5
2022-08-24 12:00:00+00:00,2022-08-25 05:00:00+00:00,bear,bull,1746.817,1742.15321,1760.80836,1758.284,2.4587,max_hold,192
2022-08-25 10:15:00+00:00,2022-08-25 11:15:00+00:00,bull,bear,1762.364,1765.26891,1753.64927,1765.26891,-1.0,stop,12
2022-08-25 12:00:00+00:00,2022-08-26 05:00:00+00:00,bull,bear,1761.258,1765.54065,1748.41004,1755.868,1.2586,max_hold,192
2022-08-26 07:00:00+00:00,2022-08-26 11:30:00+00:00,bull,bear,1755.184,1758.82247,1744.26859,1744.26859,3.0,target,54
2022-08-26 12:15:00+00:00,2022-08-26 14:00:00+00:00,bear,bull,1746.768,1743.43027,1756.78119,1743.43027,-1.0,stop,21
2022-08-29 09:10:00+00:00,2022-08-29 12:50:00+00:00,bear,bull,1723.944,1720.05318,1735.61646,1735.61646,3.0,target,44
2022-08-30 09:00:00+00:00,2022-08-31 02:00:00+00:00,bull,bear,1733.292,1738.02542,1719.09175,1722.898,2.1959,max_hold,192
2022-08-31 06:10:00+00:00,2022-08-31 08:30:00+00:00,bull,bear,1722.958,1725.89345,1714.15164,1714.15164,3.0,target,28
2022-08-31 11:20:00+00:00,2022-08-31 22:20:00+00:00,bear,bull,1713.304,1709.35861,1725.14017,1709.35861,-1.0,stop,120
2022-09-01 09:15:00+00:00,2022-09-01 10:35:00+00:00,bear,bull,1705.954,1700.23806,1723.10181,1700.23806,-1.0,stop,16
2022-09-01 11:40:00+00:00,2022-09-01 12:35:00+00:00,bear,bull,1703.628,1699.69249,1715.43453,1699.69249,-1.0,stop,11
2022-09-05 06:25:00+00:00,2022-09-05 09:50:00+00:00,bull,bear,1710.274,1714.08344,1698.84569,1714.08344,-1.0,stop,41
2022-09-05 11:30:00+00:00,2022-09-06 00:10:00+00:00,bull,bear,1712.764,1715.79762,1703.66314,1715.79762,-1.0,stop,110
2022-09-06 07:10:00+00:00,2022-09-06 18:05:00+00:00,bull,bear,1715.648,1720.82987,1700.1024,1700.1024,3.0,target,131
2022-09-07 06:05:00+00:00,2022-09-07 16:40:00+00:00,bear,bull,1696.664,1691.05005,1713.50586,1713.50586,3.0,target,127
2022-09-08 12:15:00+00:00,2022-09-08 13:15:00+00:00,bull,bear,1721.581,1725.47596,1709.89611,1709.89611,3.0,target,12
2022-09-12 06:25:00+00:00,2022-09-12 07:15:00+00:00,bear,bull,1714.658,1711.65796,1723.65813,1723.65813,3.0,target,10
2022-09-12 08:10:00+00:00,2022-09-12 09:00:00+00:00,bull,bear,1722.4,1726.61872,1709.74384,1726.61872,-1.0,stop,10
2022-09-12 09:50:00+00:00,2022-09-12 11:00:00+00:00,bull,bear,1725.214,1727.55879,1718.17963,1727.55879,-1.0,stop,14
2022-09-12 12:35:00+00:00,2022-09-12 15:50:00+00:00,bull,bear,1727.194,1734.09261,1706.49818,1734.09261,-1.0,stop,39
2022-09-13 06:05:00+00:00,2022-09-13 12:30:00+00:00,bear,bull,1723.068,1719.75303,1733.0129,1719.75303,-1.0,stop,77
2022-09-13 13:45:00+00:00,2022-09-14 06:45:00+00:00,bear,bull,1707.918,1696.47074,1742.25979,1701.174,-0.5891,max_hold,192
2022-09-14 08:00:00+00:00,2022-09-14 17:45:00+00:00,bear,bull,1704.614,1698.57459,1722.73223,1698.57459,-1.0,stop,117
2022-09-15 06:00:00+00:00,2022-09-15 07:05:00+00:00,bear,bull,1689.574,1685.79652,1700.90645,1685.79652,-1.0,stop,13
2022-09-15 07:35:00+00:00,2022-09-15 11:05:00+00:00,bear,bull,1688.624,1685.38171,1698.35088,1685.38171,-1.0,stop,42
2022-09-15 12:40:00+00:00,2022-09-15 13:30:00+00:00,bear,bull,1688.034,1682.35434,1705.07297,1682.35434,-1.0,stop,10
2022-09-15 13:55:00+00:00,2022-09-15 14:45:00+00:00,bear,bull,1689.978,1679.91235,1720.17496,1679.91235,-1.0,stop,10
2022-09-16 08:40:00+00:00,2022-09-16 14:10:00+00:00,bear,bull,1658.032,1653.86541,1670.53177,1670.53177,3.0,target,66
2022-09-19 13:25:00+00:00,2022-09-19 13:45:00+00:00,bull,bear,1662.965,1667.79762,1648.46715,1667.79762,-1.0,stop,4
2022-09-20 06:25:00+00:00,2022-09-20 08:10:00+00:00,bear,bull,1673.538,1669.93923,1684.33432,1669.93923,-1.0,stop,21
2022-09-20 10:30:00+00:00,2022-09-20 12:20:00+00:00,bear,bull,1669.488,1665.83537,1680.4459,1665.83537,-1.0,stop,22
2022-09-21 06:00:00+00:00,2022-09-21 18:00:00+00:00,bear,bull,1668.625,1661.43308,1690.20077,1661.43308,-1.0,stop,144
2022-09-22 07:30:00+00:00,2022-09-22 08:20:00+00:00,bear,bull,1660.508,1655.31195,1676.09615,1676.09615,3.0,target,10
2022-09-22 13:40:00+00:00,2022-09-23 06:40:00+00:00,bull,bear,1672.205,1685.24114,1633.09657,1672.458,-0.0194,max_hold,192
2022-09-23 06:50:00+00:00,2022-09-23 09:45:00+00:00,bull,bear,1669.805,1674.20568,1656.60296,1656.60296,3.0,target,35
2022-09-26 09:35:00+00:00,2022-09-26 17:10:00+00:00,bull,bear,1643.888,1649.89922,1625.85435,1625.85435,3.0,target,91
2022-09-27 08:00:00+00:00,2022-09-27 11:35:00+00:00,bull,bear,1636.313,1640.68991,1623.18228,1640.68991,-1.0,stop,43
2022-09-27 11:55:00+00:00,2022-09-28 04:55:00+00:00,bull,bear,1636.635,1642.56838,1618.83485,1623.395,2.2314,max_hold,192
2022-09-28 11:35:00+00:00,2022-09-28 12:00:00+00:00,bull,bear,1623.455,1625.81915,1616.36254,1625.81915,-1.0,stop,5
2022-09-29 06:35:00+00:00,2022-09-29 15:10:00+00:00,bear,bull,1645.805,1641.17942,1659.68175,1659.68175,3.0,target,103
2022-09-30 12:20:00+00:00,2022-09-30 17:35:00+00:00,bear,bull,1666.168,1661.88998,1679.00206,1661.88998,-1.0,stop,63
2022-10-03 06:00:00+00:00,2022-10-03 08:00:00+00:00,bear,bull,1667.835,1661.65938,1686.36186,1661.65938,-1.0,stop,24
2022-10-03 08:20:00+00:00,2022-10-03 09:30:00+00:00,bear,bull,1664.546,1660.78002,1675.84394,1660.78002,-1.0,stop,14
2022-10-03 12:15:00+00:00,2022-10-03 12:20:00+00:00,bull,bear,1663.835,1667.54156,1652.71532,1667.54156,-1.0,stop,1
2022-10-04 08:20:00+00:00,2022-10-04 10:20:00+00:00,bull,bear,1706.594,1710.84348,1693.84555,1710.84348,-1.0,stop,24
2022-10-04 10:55:00+00:00,2022-10-04 12:50:00+00:00,bull,bear,1705.937,1712.6654,1685.75179,1712.6654,-1.0,stop,23
2022-10-04 13:40:00+00:00,2022-10-04 14:00:00+00:00,bull,bear,1706.677,1714.19141,1684.13378,1714.19141,-1.0,stop,4
2022-10-05 06:15:00+00:00,2022-10-05 07:45:00+00:00,bear,bull,1721.138,1717.22488,1732.87737,1717.22488,-1.0,stop,18
2022-10-05 10:50:00+00:00,2022-10-05 14:00:00+00:00,bear,bull,1711.742,1702.79414,1738.58558,1702.79414,-1.0,stop,38
2022-10-06 06:15:00+00:00,2022-10-06 07:55:00+00:00,bull,bear,1721.614,1725.13348,1711.05557,1725.13348,-1.0,stop,20
2022-10-06 08:10:00+00:00,2022-10-06 16:00:00+00:00,bull,bear,1721.227,1725.67328,1707.88816,1707.88816,3.0,target,94
2022-10-07 06:20:00+00:00,2022-10-07 09:00:00+00:00,bull,bear,1710.504,1714.12696,1699.63513,1714.12696,-1.0,stop,32
2022-10-07 10:00:00+00:00,2022-10-07 12:45:00+00:00,bull,bear,1710.218,1714.91574,1696.12479,1696.12479,3.0,target,33
2022-10-10 11:05:00+00:00,2022-10-10 11:40:00+00:00,bear,bull,1681.458,1677.21286,1694.19342,1677.21286,-1.0,stop,7
2022-10-11 09:40:00+00:00,2022-10-11 11:20:00+00:00,bull,bear,1662.708,1669.97904,1640.89487,1669.97904,-1.0,stop,20
2022-10-11 13:30:00+00:00,2022-10-11 13:40:00+00:00,bull,bear,1668.048,1670.81319,1659.75244,1670.81319,-1.0,stop,2
2022-10-13 07:40:00+00:00,2022-10-13 09:10:00+00:00,bear,bull,1669.515,1666.75147,1677.80559,1677.80559,3.0,target,18
2022-10-14 07:15:00+00:00,2022-10-14 14:00:00+00:00,bull,bear,1665.888,1671.87372,1647.93084,1647.93084,3.0,target,81
2022-10-17 10:20:00+00:00,2022-10-17 11:35:00+00:00,bull,bear,1656.363,1658.1331,1651.05271,1658.1331,-1.0,stop,15
2022-10-18 06:00:00+00:00,2022-10-18 23:00:00+00:00,bull,bear,1655.757,1660.87945,1640.38964,1653.398,0.4605,max_hold,192
2022-10-19 11:45:00+00:00,2022-10-19 12:20:00+00:00,bear,bull,1634.808,1631.51893,1644.6752,1631.51893,-1.0,stop,7
2022-10-20 06:05:00+00:00,2022-10-20 09:45:00+00:00,bull,bear,1630.767,1635.01182,1618.03253,1635.01182,-1.0,stop,44
2022-10-20 11:40:00+00:00,2022-10-20 12:30:00+00:00,bull,bear,1636.328,1639.45286,1626.95343,1639.45286,-1.0,stop,10
2022-10-21 06:45:00+00:00,2022-10-21 07:05:00+00:00,bear,bull,1622.427,1619.50172,1631.20283,1619.50172,-1.0,stop,4
2022-10-21 11:40:00+00:00,2022-10-21 12:55:00+00:00,bull,bear,1623.448,1628.1121,1609.45571,1628.1121,-1.0,stop,15
2022-10-24 09:10:00+00:00,2022-10-24 14:20:00+00:00,bear,bull,1649.057,1643.95135,1664.37394,1643.95135,-1.0,stop,62
